0.56; 0.22
0.5622; 0.21665
0.564367; 0.213236
0.566499; 0.209757
0.568596; 0.206215
0.570659; 0.202608
0.572685; 0.198937
0.574674; 0.195202
0.576626; 0.191404
0.57854; 0.187541
0.580416; 0.183615
0.582252; 0.179625
0.584048; 0.175571
0.585804; 0.171454
0.587518; 0.167274
0.589191; 0.163031
0.590821; 0.158725
0.592408; 0.154357
0.593952; 0.149925
0.595451; 0.145431
0.596906; 0.140876
0.598314; 0.136258
0.599677; 0.131578
0.600993; 0.126837
0.602261; 0.122034
0.603481; 0.11717
0.604653; 0.112245
0.605776; 0.10726
0.606848; 0.102214
0.60787; 0.0971075
0.608841; 0.0919411
0.609761; 0.0867148
0.610628; 0.0814288
0.611442; 0.0760834
0.612203; 0.0706788
0.61291; 0.0652152
0.613562; 0.0596928
0.614159; 0.0541117
0.6147; 0.0484723
0.615185; 0.0427746
0.615613; 0.0370189
0.615983; 0.0312053
0.616295; 0.0253341
0.616548; 0.0194052
0.616742; 0.013419
0.616876; 0.00737543
0.61695; 0.00127474
0.616963; -0.00488299
0.616914; -0.0110977
0.616803; -0.0173692
0.616629; -0.0236976
0.616392; -0.0300828
0.616092; -0.0365246
0.615726; -0.0430232
0.615296; -0.0495784
0.6148; -0.0561905
0.614238; -0.0628592
0.61361; -0.0695849
0.612914; -0.0763674
0.61215; -0.0832069
0.611318; -0.0901036
0.610417; -0.0970577
0.609447; -0.104069
0.608406; -0.111138
0.607295; -0.118265
0.606112; -0.125451
0.604857; -0.132694
0.60353; -0.139997
0.60213; -0.147358
0.600657; -0.154779
0.599109; -0.16226
0.597486; -0.169801
0.595788; -0.177402
0.594014; -0.185065
0.592164; -0.19279
0.590236; -0.200577
0.58823; -0.208427
0.586146; -0.21634
0.583982; -0.224317
0.581739; -0.23236
0.579416; -0.240467
0.577011; -0.248642
0.574525; -0.256883
0.571956; -0.265193
0.569304; -0.273571
0.566568; -0.282019
0.563748; -0.290538
0.560843; -0.299129
0.557851; -0.307792
0.554773; -0.316529
0.551608; -0.325342
0.548355; -0.334231
0.545012; -0.343197
0.54158; -0.352242
0.538058; -0.361366
0.534444; -0.370572
0.530739; -0.379861
0.52694; -0.389234
0.523048; -0.398693
0.519061; -0.408239
0.514978; -0.417873
0.5108; -0.427598
0.506524; -0.437415
0.502149; -0.447326
0.497676; -0.457332
0.493103; -0.467435
0.488429; -0.477637
0.483652; -0.48794
0.478773; -0.498347
0.473789; -0.508858
0.468701; -0.519475
0.463506; -0.530202
0.458204; -0.54104
0.452794; -0.551991
0.447274; -0.563058
0.441643; -0.574241
0.435901; -0.585545
0.430045; -0.596971
0.424075; -0.608521
0.41799; -0.620199
0.411788; -0.632005
0.405468; -0.643943
0.399029; -0.656015
0.392469; -0.668223
0.385786; -0.680571
0.378981; -0.69306
0.37205; -0.705693
0.364993; -0.718473
0.357808; -0.731402
0.350494; -0.744483
0.34305; -0.757718
0.335472; -0.77111
0.327761; -0.784661
0.319915; -0.798374
0.311931; -0.812252
0.303808; -0.826296
0.295545; -0.840509
0.28714; -0.854895
0.278591; -0.869454
0.269897; -0.884189
0.261055; -0.899103
0.252064; -0.914197
0.242922; -0.929474
0.233627; -0.944935
0.224178; -0.960582
0.214572; -0.976417
0.204808; -0.992442
0.194884; -1.00866
0.184797; -1.02506
0.174546; -1.04166
0.16413; -1.05846
0.153545; -1.07544
0.142791; -1.09263
0.131864; -1.11
0.120764; -1.12757
0.109489; -1.14534
0.0980353; -1.16329
0.0864024; -1.18144
0.074588; -1.19977
0.0625902; -1.2183
0.0504073; -1.23701
0.0380372; -1.25589
0.0254783; -1.27496
0.0127287; -1.2942
-0.000213328; -1.31361
-0.0133494; -1.33318
-0.0266812; -1.3529
-0.0402102; -1.37278
-0.053938; -1.3928
-0.0678661; -1.41295
-0.0819956; -1.43323
-0.0963279; -1.45362
-0.110864; -1.47412
-0.125605; -1.4947
-0.140552; -1.51537
-0.155706; -1.53609
-0.171067; -1.55687
-0.186636; -1.57768
-0.202412; -1.5985
-0.218397; -1.61932
-0.234591; -1.64011
-0.250992; -1.66086
-0.2676; -1.68154
-0.284416; -1.70212
-0.301437; -1.72259
-0.318663; -1.74291
-0.336092; -1.76305
-0.353722; -1.78299
-0.371552; -1.8027
-0.389579; -1.82214
-0.407801; -1.84127
-0.426213; -1.86006
-0.444814; -1.87848
-0.463599; -1.89649
-0.482564; -1.91403
-0.501704; -1.93109
-0.521015; -1.9476
-0.540491; -1.96353
-0.560126; -1.97884
-0.579915; -1.99347
-0.599849; -2.00738
-0.619923; -2.02053
-0.640128; -2.03287
-0.660457; -2.04435
-0.680901; -2.05492
-0.70145; -2.06453
-0.722095; -2.07314
-0.742826; -2.0807
-0.763633; -2.08717
-0.784505; -2.0925
-0.80543; -2.09664
-0.826397; -2.09956
-0.847392; -2.10122
-0.868404; -2.10157
-0.88942; -2.10059
-0.910426; -2.09823
-0.931408; -2.09448
-0.952353; -2.0893
-0.973246; -2.08267
-0.994073; -2.07457
-1.01482; -2.065
-1.03547; -2.05393
-1.05601; -2.04137
-1.07642; -2.02731
-1.09669; -2.01175
-1.11681; -1.9947
-1.13676; -1.97619
-1.15652; -1.95621
-1.17608; -1.93481
-1.19543; -1.912
-1.21455; -1.88783
-1.23343; -1.86232
-1.25205; -1.83551
-1.27041; -1.80747
-1.28848; -1.77823
-1.30626; -1.74785
-1.32374; -1.7164
-1.34091; -1.68392
-1.35775; -1.65049
-1.37425; -1.61617
-1.39041; -1.58103
-1.40622; -1.54514
-1.42167; -1.50857
